區域別	性別	總計	阿美	泰雅	排灣	布農	魯凱	卑南	鄒	賽夏	雅美	邵	噶瑪蘭	太魯閣	撒奇萊雅	賽德克族	拉阿魯哇族	卡那卡那富族	尚未申報
總 計	計	543,661	202,108	86,523	97,078	56,447	12,913	13,520	6,688	6,459	4,452	764	1,394	30,014	858	9,235	245	234	14,729
總 計	男	264,737	99,203	41,029	47,039	27,308	6,277	6,522	3,197	3,115	2,200	372	692	14,493	432	4,603	122	125	8,008
總 計	女	278,924	102,905	45,494	50,039	29,139	6,636	6,998	3,491	3,344	2,252	392	702	15,521	426	4,632	123	109	6,721
新北市	計	53,900	31,814	7,138	4,195	3,585	517	1,236	189	494	82	47	281	1,921	44	237	4	0	2,116
新北市	男	25,057	15,191	3,133	1,912	1,620	230	558	75	198	36	25	137	773	30	96	2	0	1,041
新北市	女	28,843	16,623	4,005	2,283	1,965	287	678	114	296	46	22	144	1,148	14	141	2	0	1,075
臺北市	計	15,756	7,568	2,591	1,502	992	231	471	161	155	36	18	40	807	24	218	1	0	941
臺北市	男	6,643	3,326	994	660	412	103	212	60	63	12	3	16	336	12	75	0	0	359
臺北市	女	9,113	4,242	1,597	842	580	128	259	101	92	24	15	24	471	12	143	1	0	582
桃園市	計	66,928	31,821	19,218	5,163	3,902	461	962	175	993	89	20	146	1,830	90	364	1	0	1,693
桃園市	男	32,157	15,706	9,205	2,323	1,663	236	484	69	419	22	9	82	851	56	163	0	0	869
桃園市	女	34,771	16,115	10,013	2,840	2,239	225	478	106	574	67	11	64	979	34	201	1	0	824
臺中市	計	31,646	9,273	8,606	6,215	4,115	396	632	253	189	51	142	41	567	13	603	9	14	527
臺中市	男	14,614	4,486	3,989	2,897	1,762	175	287	97	92	17	58	13	234	8	251	4	4	240
臺中市	女	17,032	4,787	4,617	3,318	2,353	221	345	156	97	34	84	28	333	5	352	5	10	287
臺南市	計	7,151	2,178	599	2,255	1,006	199	292	101	25	11	16	14	225	4	57	2	4	163
臺南市	男	2,990	916	218	955	433	83	130	43	12	6	7	6	90	2	19	1	0	69
臺南市	女	4,161	1,262	381	1,300	573	116	162	58	13	5	9	8	135	2	38	1	4	94
高雄市	計	32,641	9,040	1,232	8,131	8,935	2,547	724	746	51	31	15	22	503	6	109	216	209	124
高雄市	男	15,313	4,241	510	3,530	4,485	1,252	325	340	18	14	5	9	246	3	40	111	119	65
高雄市	女	17,328	4,799	722	4,601	4,450	1,295	399	406	33	17	10	13	257	3	69	105	90	59
臺灣省	計	334,540	109,900	46,988	69,468	33,811	8,548	9,189	5,046	4,534	4,150	505	849	24,091	676	7,641	12	6	9,126
臺灣省	男	167,388	55,074	22,907	34,682	16,885	4,187	4,519	2,503	2,307	2,093	264	429	11,921	320	3,955	4	1	5,337
臺灣省	女	167,152	54,826	24,081	34,786	16,926	4,361	4,670	2,543	2,227	2,057	241	420	12,170	356	3,686	8	5	3,789
宜蘭縣	計	16,559	1,984	12,401	261	292	48	96	20	19	4	2	8	450	6	38	0	2	928
宜蘭縣	男	8,209	907	6,326	97	110	25	38	9	7	0	1	2	177	5	18	0	1	486
宜蘭縣	女	8,350	1,077	6,075	164	182	23	58	11	12	4	1	6	273	1	20	0	1	442
新竹縣	計	21,006	1,770	15,905	493	403	64	111	34	1,570	22	9	9	202	7	49	0	1	357
新竹縣	男	10,372	788	8,053	192	142	32	52	14	781	10	5	3	76	4	18	0	0	202
新竹縣	女	10,634	982	7,852	301	261	32	59	20	789	12	4	6	126	3	31	0	1	155
苗栗縣	計	11,261	1,343	6,269	392	347	22	94	25	2,412	16	11	15	111	2	39	2	0	161
苗栗縣	男	5,447	548	3,115	161	116	7	42	6	1,297	7	4	7	44	1	14	2	0	76
苗栗縣	女	5,814	795	3,154	231	231	15	52	19	1,115	9	7	8	67	1	25	0	0	85
彰化縣	計	5,358	1,983	418	1,264	898	139	188	47	26	10	23	22	126	0	70	0	0	144
彰化縣	男	2,361	905	147	567	397	56	73	21	12	7	14	13	55	0	31	0	0	63
彰化縣	女	2,997	1,078	271	697	501	83	115	26	14	3	9	9	71	0	39	0	0	81
南投縣	計	28,680	898	6,007	445	13,861	64	62	242	50	7	424	3	113	1	6,472	3	0	28
南投縣	男	14,441	361	2,909	179	7,142	22	22	118	19	3	228	0	37	0	3,385	0	0	16
南投縣	女	14,239	537	3,098	266	6,719	42	40	124	31	4	196	3	76	1	3,087	3	0	12
雲林縣	計	2,242	916	295	382	300	43	49	38	20	4	0	4	98	1	15	0	0	77
雲林縣	男	875	361	97	155	119	21	11	10	9	3	0	3	47	0	5	0	0	34
雲林縣	女	1,367	555	198	227	181	22	38	28	11	1	0	1	51	1	10	0	0	43
嘉義縣	計	5,735	537	183	324	285	32	59	4,063	33	0	21	1	47	1	25	0	0	124
嘉義縣	男	2,746	204	59	140	130	15	29	2,072	10	0	8	0	12	0	8	0	0	59
嘉義縣	女	2,989	333	124	184	155	17	30	1,991	23	0	13	1	35	1	17	0	0	65
屏東縣	計	58,374	2,090	436	47,758	629	5,934	184	76	29	14	4	12	134	4	18	5	2	1,045
屏東縣	男	29,007	917	150	24,052	217	2,906	73	34	5	6	1	2	58	1	5	1	0	579
屏東縣	女	29,367	1,173	286	23,706	412	3,028	111	42	24	8	3	10	76	3	13	4	2	466
臺東縣	計	79,265	36,965	461	16,542	8,254	2,069	7,665	44	51	4,043	4	109	185	5	31	2	1	2,834
臺東縣	男	40,843	19,141	182	8,459	4,200	1,054	3,885	13	22	2,049	0	59	66	4	14	1	0	1,694
臺東縣	女	38,422	17,824	279	8,083	4,054	1,015	3,780	31	29	1,994	4	50	119	1	17	1	1	1,140
花蓮縣	計	91,786	52,417	2,687	833	7,969	71	442	39	58	14	0	646	22,228	634	811	0	0	2,937
花蓮縣	男	46,378	26,493	1,132	342	4,068	24	199	16	25	4	0	332	11,162	301	418	0	0	1,862
花蓮縣	女	45,408	25,924	1,555	491	3,901	47	243	23	33	10	0	314	11,066	333	393	0	0	1,075
澎湖縣	計	437	155	65	105	38	8	20	5	1	1	0	0	24	0	14	0	0	1
澎湖縣	男	198	69	25	55	14	3	7	2	0	0	0	0	15	0	8	0	0	0
澎湖縣	女	239	86	40	50	24	5	13	3	1	1	0	0	9	0	6	0	0	1
基隆市	計	9,058	7,257	630	252	252	13	101	26	16	9	3	11	187	7	22	0	0	272
基隆市	男	4,432	3,625	249	110	117	4	43	10	7	3	1	5	83	1	14	0	0	160
基隆市	女	4,626	3,632	381	142	135	9	58	16	9	6	2	6	104	6	8	0	0	112
新竹市	計	3,789	1,390	1,151	327	175	30	74	21	243	5	3	3	156	2	28	0	0	181
新竹市	男	1,657	673	436	140	70	13	27	5	109	1	2	2	74	0	13	0	0	92
新竹市	女	2,132	717	715	187	105	17	47	16	134	4	1	1	82	2	15	0	0	89
嘉義市	計	990	195	80	90	108	11	44	366	6	1	1	6	30	6	9	0	0	37
嘉義市	男	422	82	27	33	43	5	18	173	4	0	0	1	15	3	4	0	0	14
嘉義市	女	568	113	53	57	65	6	26	193	2	1	1	5	15	3	5	0	0	23
福建省	計	1,099	514	151	149	101	14	14	17	18	2	1	1	70	1	6	0	1	39
